capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,date_diff_days
12000138625024,0,79.0,78715272.0,96.0,0.0,100.0,3.0,100.0,0.0,77.0,51146838.0,99.0,993.0,100.0,0.0,100.0,3.0,100.0,14.0,100.0,836.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,55
8001563222016,1,57.0,184212592.0,92.0,0.0,100.0,6.0,93.0,29616.0,96.0,3595427560.0,86.0,12419.0,100.0,0.0,100.0,5.0,100.0,35.0,98.0,4899.0,41.0,41.0,100.0,0.0,100.0,0.0,200.0,0.0,0
4000787030016,0,118.0,188314152.0,92.0,0.0,100.0,8.0,98.0,1944.0,90.0,953415415.0,70.0,27014.0,100.0,0.0,100.0,7.0,100.0,0.0,33.0,134341.0,21.0,21.0,100.0,0.0,100.0,0.0,200.0,0.0,58
8001563222016,0,70.0,201211656.0,92.0,0.0,100.0,6.0,74.0,36664.0,95.0,3092666110.0,82.0,15891.0,100.0,0.0,100.0,6.0,100.0,34.0,95.0,11830.0,31.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,76
12000138625024,0,77.0,47316152.0,96.0,0.0,100.0,4.0,100.0,0.0,90.0,904510352.0,90.0,9345.0,100.0,0.0,100.0,3.0,100.0,158.0,100.0,1105.0,36.0,36.0,100.0,0.0,100.0,0.0,200.0,0.0,83
12000138625024,0,83.0,195311104.0,95.0,0.0,100.0,4.0,100.0,0.0,81.0,118385451.0,90.0,8934.0,100.0,0.0,100.0,3.0,100.0,95.0,100.0,937.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0,76
12000138625024,0,68.0,5994008.0,98.0,0.0,100.0,2.0,100.0,0.0,90.0,942845117.0,90.0,9227.0,100.0,0.0,100.0,1.0,100.0,110.0,100.0,1463.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,14
12000138625024,0,74.0,23805872.0,92.0,0.0,100.0,6.0,100.0,0.0,88.0,624294819.0,94.0,5684.0,100.0,0.0,100.0,6.0,100.0,69.0,100.0,662.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,58
12000138625024,0,77.0,46480840.0,96.0,0.0,100.0,4.0,100.0,0.0,78.0,68473722.0,91.0,8524.0,100.0,0.0,100.0,3.0,100.0,86.0,100.0,412.0,31.0,31.0,100.0,16.0,100.0,16.0,200.0,0.0,39
4000787030016,0,120.0,239601688.0,96.0,0.0,100.0,4.0,100.0,0.0,85.0,401281971.0,66.0,30320.0,100.0,0.0,100.0,4.0,100.0,0.0,76.0,49771.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0,40
